Employee Name;Building;Department;SS#;Phone;Status;Hire Date;Month;Years;Benefits; Comp. ;Job Rating;;;;;;
Blackburn, Kathryn;North;Quality Assurance;984-88-1714;(919) 697-3131;Full Time;24/09/2001;September; 19 ; R ; 34.330 ;3;;;;;;
Blackwell, Brandon;North;Quality Assurance;647-13-1956;(252) 124-0785;Full Time;19/04/2011;April; 9 ; DMR ; 73.560 ;3;;;;;;
Blair, Sperry;Main;Project & Contract Services;990-84-3236;(919) 624-5634;Full Time;11/09/2011;September; 9 ; R ; 65.880 ;5;;;;;;
Blake, Thomas;North;Process Development;555-71-8765;(252) 461-8773;Full Time;22/11/2012;November; 8 ; DMR ; 88.850 ;3;;;;;;
Blankenship, Roger;North;Logistics;659-92-9807;(919) 308-9561;Full Time;21/11/2010;November; 10 ; DMR ; 22.410 ;4;;;;;;
Blevins, Carey;Main;Engineering/Maintenance;981-10-6829;(252) 619-6095;Contract;08/12/2002;December; 18 ;; 85.480 ;5;;;;;;
Bond, John;North;International Clinical Safety;850-21-0766;(252) 783-8614;Full Time;08/06/2010;June; 10 ; DMR ; 47.350 ;5;;;;;;
Booker, Judith;Main;Quality Control;964-25-5290;(919) 744-6192;Full Time;09/05/2014;May; 6 ; R ; 34.990 ;3;;;;;;
Boone, Eric;Main;Environmental Health/Safety;324-62-2113;(919) 882-4849;Half-Time;19/09/2015;September; 5 ; R ; 28.625 ;1;;;;;;
Booth, Raquel;North;Process Development;474-11-7484;(919) 613-2408;Full Time;23/11/1996;November; 24 ; DMR ; 79.770 ;4;;;;;;
Bowen, Kes;North;Quality Assurance;323-70-1315;(919) 447-9196;Full Time;23/11/2015;November; 5 ; M ; 80.260 ;3;;;;;;
Bowers, Tammy;Main;Process Development;948-25-2103;(919) 743-0732;Hourly;02/04/2004;April; 16 ;; 39.764 ;1;;;;;;
Bowman, Michael;Watson;Manufacturing;143-53-4593;(252) 717-2882;Contract;02/05/2008;May; 12 ;; 75.420 ;1;;;;;;
Boyd, Debra;Main;Project & Contract Services;978-15-4935;(252) 138-4592;Full Time;20/11/2003;November; 17 ; M ; 46.360 ;5;;;;;;
Boyer, John;Taft;Manufacturing;923-12-3594;(252) 866-9137;Full Time;23/11/2003;November; 17 ; D ; 81.400 ;2;;;;;;
Bradford, Raymond;Main;Peptide Chemistry;221-36-4716;(252) 138-9906;Full Time;23/10/2005;October; 15 ; DMR ; 71.820 ;2;;;;;;
Cameron, John;West;Admin Training;297-85-2686;(252) 583-2994;Full Time;29/06/2013;June; 7 ; D ; 58.290 ;5;;;;;;
Bradshaw, Sheryl;Taft;Audit Services;764-37-5259;(252) 751-5181;Full Time;19/12/2008;December; 12 ; DMR ; 30.350 ;1;;;;;;
Brady, Traci;South;Manufacturing;826-45-0563;(919) 660-7355;Contract;12/04/2005;April; 15 ;; 57.760 ;3;;;;;;
Branch, Brady;North;Quality Control;717-50-3282;(252) 240-0087;Contract;26/09/2015;September; 5 ;; 46.570 ;4;;;;;;
Brewer, Kent;Taft;Process Development;120-47-9503;(919) 606-9116;Half-Time;20/05/2012;May; 8 ; D ; 47.760 ;3;;;;;;
Bridges, Jeff;North;Project & Contract Services;161-43-9267;(919) 760-0603;Full Time;22/07/2012;July; 8 ; DM ; 42.020 ;5;;;;;;
Briggs, Bryan;Main;Manufacturing;213-58-4397;(252) 413-8160;Full Time;30/12/2006;December; 14 ; R ; 62.750 ;3;;;;;;
Brock, Ensley;West;Quality Control;610-34-0294;(919) 844-3818;Contract;20/05/1997;May; 23 ;; 70.300 ;3;;;;;;
Brooks, Richard;Taft;Logistics;105-70-8355;(252) 469-7218;Full Time;28/04/2003;April; 17 ; DM ; 71.010 ;5;;;;;;
Brown, Donald;North;Manufacturing;276-98-0518;(919) 526-7252;Full Time;08/02/2011;February; 10 ; D ; 29.420 ;5;;;;;;
Browning, Kathleen;West;Quality Assurance;518-00-9092;(252) 879-2521;Hourly;29/12/2002;December; 18 ;; 17.912 ;5;;;;;;
Bruce, Kevin;South;Quality Control;364-52-5917;(252) 278-7318;Full Time;25/10/1997;October; 23 ; R ; 46.410 ;2;;;;;;
Bryan, Thomas;Taft;Quality Control;120-36-1975;(252) 178-9943;Full Time;12/06/2007;June; 13 ; D ; 60.300 ;2;;;;;;
Bryant, Douglas;Main;Environmental Health/Safety;925-04-9144;(252) 475-2921;Full Time;13/01/2004;January; 17 ; DMR ; 49.860 ;2;;;;;;
Buchanan, Dennis;South;Quality Assurance;666-19-4498;(252) 659-3848;Full Time;17/10/2009;October; 11 ; R ; 83.710 ;3;;;;;;
Buckel, Patricia;Main;Peptide Chemistry;332-30-2868;(919) 610-9756;Full Time;31/10/2003;October; 17 ; R ; 23.520 ;2;;;;;;
Bullock, Greg;West;Quality Control;502-58-0266;(919) 710-3200;Hourly;06/08/2010;August; 10 ;; 37.344 ;2;;;;;;
Burgess, Cherie;North;Logistics;575-64-8597;(919) 886-5267;Contract;05/11/2007;November; 13 ;; 31.970 ;5;;;;;;
Burke, Michael;Watson;Quality Assurance;889-21-0902;(252) 742-2559;Full Time;04/10/2004;October; 16 ; R ; 48.250 ;3;;;;;;
Burnett, Kevin;South;Compliance;529-60-9767;(252) 800-6736;Contract;11/09/2001;September; 19 ;; 58.130 ;2;;;;;;
Burns, Fiona;South;Manufacturing;620-33-6005;(919) 642-2185;Full Time;10/11/2009;November; 11 ; DMR ; 41.060 ;3;;;;;;
Burton, Cam;South;Quality Control;641-96-2645;(919) 696-5088;Contract;31/03/1998;March; 22 ;; 78.590 ;1;;;;;;
Bush, Rena;North;Engineering/Maintenance;905-67-5120;(919) 252-6124;Full Time;07/03/2001;March; 20 ; M ; 77.580 ;3;;;;;;
Butler, Roy;North;Project & Contract Services;552-52-8553;(919) 431-0812;Hourly;13/04/2004;April; 16 ;; 37.016 ;4;;;;;;
Byrd, Asa;North;Manufacturing;894-03-0119;(252) 865-2588;Full Time;11/04/2006;April; 14 ; DM ; 66.010 ;5;;;;;;
Cain, Lon;Main;Operations;626-76-7704;(252) 697-1022;Contract;27/09/2002;September; 18 ;; 77.930 ;5;;;;;;
Francis, Todd;West;Admin Training;767-96-1463;(252) 364-6601;Contract;24/06/2005;June; 15 ;; 76.690 ;3;;;;;;
Calhoun, Dac Vinh;North;Engineering/Maintenance;252-27-6921;(252) 577-7345;Full Time;28/03/2008;March; 12 ; R ; 87.280 ;4;;;;;;
Callahan, Marilyn;West;Quality Assurance;649-29-2883;(919) 841-3896;Full Time;23/06/2009;June; 11 ; R ; 31.910 ;5;;;;;;
Camacho, Stephanie;Watson;Project & Contract Services;920-26-5140;(252) 407-8104;Full Time;28/12/2010;December; 10 ; DM ; 62.688 ;3;;;;;;
Gallegos, Rick;West;Admin Training;771-27-7493;(252) 287-2439;Hourly;25/08/2014;August; 6 ;; 10.636 ;4;;;;;;
Campbell, Michael;Main;Manufacturing;910-96-4196;(919) 436-1873;Contract;19/05/1997;May; 23 ;; 49.530 ;2;;;;;;
Campos, Richard;North;Manufacturing;618-53-5019;(919) 369-5179;Full Time;02/03/2003;March; 18 ; R ; 89.740 ;5;;;;;;
Cannon, Jenny;North;Quality Assurance;110-72-6520;(919) 796-3782;Full Time;22/12/2001;December; 19 ; DMR ; 78.710 ;4;;;;;;
Carey, Andrea;West;Quality Control;741-25-8203;(919) 515-7707;Contract;19/04/1997;April; 23 ;; 59.128 ;4;;;;;;
Carlson, Jeremy;West;Project & Contract Services;484-44-2635;(252) 719-4901;Contract;06/08/1995;August; 25 ;; 23.020 ;4;;;;;;
Carpenter, Ronald;Taft;Manufacturing;884-02-5623;(252) 128-0865;Contract;17/12/1997;December; 23 ;; 64.430 ;4;;;;;;
Carr, Susan;North;Operations;983-89-1302;(919) 146-2245;Full Time;10/02/2002;February; 19 ; DMR ; 81.640 ;4;;;;;;
Carrillo, Robert;Taft;Project & Contract Services;265-32-3292;(252) 293-9413;Full Time;22/09/2003;September; 17 ; R ; 45.000 ;4;;;;;;
Carroll, Lesa;Main;Quality Assurance;304-02-4314;(919) 224-4880;Contract;16/04/1996;April; 24 ;; 46.650 ;2;;;;;;
Carson, Anthony;North;Quality Control;763-18-2349;(252) 778-0776;Contract;22/03/1998;March; 22 ;; 75.550 ;3;;;;;;
Carter, Allan;Main;Engineering/Operations;759-35-0847;(252) 747-4942;Full Time;30/11/2009;November; 11 ; DMR ; 36.630 ;4;;;;;;
Casey, Ronald;West;Manufacturing;566-72-6453;(919) 216-8237;Full Time;01/09/2000;September; 20 ; DM ; 38.940 ;2;;;;;;
Castillo, Sheri;West;Professional Training Group;360-90-4659;(252) 376-6803;Full Time;30/09/1996;September; 24 ; R ; 44.620 ;5;;;;;;
Castro, Christopher;Main;Quality Control;671-82-3263;(252) 671-8651;Full Time;18/01/2016;January; 5 ; DMR ; 86.640 ;3;;;;;;
Chambers, Richard;Main;Quality Assurance;843-63-2637;(919) 854-5681;Hourly;21/12/2002;December; 18 ;; 12.836 ;5;;;;;;
Chandler, Diane;North;International Clinical Safety;699-05-3064;(919) 129-9076;Contract;09/04/2010;April; 10 ;; 60.060 ;2;;;;;;
Chang, Gabriel;Watson;Peptide Chemistry;113-37-7726;(919) 749-4648;Full Time;17/08/2004;August; 16 ; R ; 68.410 ;5;;;;;;
Chapman, Jessica;Main;Engineering/Maintenance;148-89-9089;(252) 473-4960;Half-Time;01/05/1998;May; 22 ; DMR ; 26.890 ;3;;;;;;
Charles, Jeffrey;North;Operations;751-87-8224;(919) 471-3628;Full Time;18/10/1996;October; 24 ; DM ; 87.120 ;3;;;;;;
Chase, Troy;West;Quality Assurance;855-13-5948;(919) 640-8497;Full Time;18/10/2013;October; 7 ; R ; 72.060 ;2;;;;;;
Chavez, Thomas;Watson;Manufacturing;292-99-3080;(252) 508-5320;Full Time;23/10/2012;October; 8 ; R ; 59.420 ;4;;;;;;
Chen, Jaime;Main;Process Development;816-60-7187;(919) 552-0461;Hourly;17/07/2015;July; 5 ;; 9.180 ;3;;;;;;
Christensen, Jill;North;Manufacturing;475-51-7002;(252) 390-9820;Full Time;22/03/2004;March; 16 ; R ; 68.750 ;1;;;;;;
Christian, Melissa;Watson;Manufacturing;425-63-4540;(919) 696-9994;Full Time;13/10/2014;October; 6 ; M ; 34.690 ;2;;;;;;
Clark, William;Main;Quality Assurance;102-15-9909;(252) 186-8104;Hourly;27/10/1998;October; 22 ;; 36.788 ;4;;;;;;
Clarke, Dennis;Main;Logistics;518-69-0148;(252) 650-0529;Full Time;25/05/2015;May; 5 ; M ; 32.640 ;4;;;;;;
Clay, William;Main;Project & Contract Services;558-90-3229;(919) 569-9651;Full Time;16/01/1998;January; 23 ; DMR ; 23.320 ;4;;;;;;
Clayton, Gregory;Main;Project & Contract Services;728-56-7428;(252) 195-7923;Full Time;05/01/2016;January; 5 ; D ; 86.500 ;1;;;;;;
Cline, Rebecca;Main;Process Development;839-89-9522;(919) 551-2521;Full Time;08/04/2003;April; 17 ; DMR ; 74.530 ;5;;;;;;
Cobb, Nicole;Taft;Logistics;281-00-5046;(252) 705-1004;Contract;14/06/2014;June; 6 ;; 56.920 ;4;;;;;;
Cochran, Andrea;Watson;Engineering/Maintenance;267-21-8084;(919) 382-5834;Contract;10/03/2003;March; 18 ;; 88.000 ;5;;;;;;
Cohen, Bruce;Taft;Operations;159-41-5552;(919) 422-1208;Full Time;26/03/1997;March; 23 ; DM ; 73.930 ;1;;;;;;
Cole, Elbert;South;Manufacturing;180-09-5803;(252) 650-3334;Full Time;24/03/2014;March; 6 ; DMR ; 78.170 ;5;;;;;;
Coleman, Roque;North;Quality Control;324-06-9262;(252) 545-9665;Contract;04/05/1999;May; 21 ;; 45.105 ;1;;;;;;
Collier, Dean;Main;Engineering/Maintenance;459-52-2265;(252) 463-3649;Full Time;17/09/1996;September; 24 ; DM ; 61.400 ;5;;;;;;
Collins, Michael;Main;Process Development;272-71-4784;(919) 116-2663;Hourly;14/01/2008;January; 13 ;; 21.648 ;2;;;;;;
Colon, Donnie;North;Manufacturing;337-37-0590;(919) 704-6530;Contract;12/12/2008;December; 12 ;; 57.410 ;2;;;;;;
Combs, Rick;South;Peptide Chemistry;303-64-1529;(919) 675-3698;Half-Time;09/01/2001;January; 20 ; DMR ; 49.405 ;4;;;;;;
Conley, Mark;South;Operations;357-08-1517;(252) 766-0273;Half-Time;14/05/2004;May; 16 ; R ; 26.790 ;2;;;;;;
Conner, Mark;Taft;Manufacturing;720-53-8680;(252) 212-6686;Full Time;14/03/1999;March; 22 ; DMR ; 81.010 ;4;;;;;;
Contreras, Dean;West;Project & Contract Services;433-31-4045;(252) 254-3210;Contract;19/11/1996;November; 24 ;; 47.590 ;3;;;;;;
Conway, Brett;North;Operations;567-26-6382;(252) 168-3770;Full Time;02/09/2003;September; 17 ; D ; 49.770 ;1;;;;;;
Cook, Mark;West;Manufacturing;138-60-7245;(252) 214-0101;Contract;08/01/1998;January; 23 ;; 79.220 ;4;;;;;;
Cooper, Lisa;South;Quality Assurance;491-83-0893;(252) 471-3634;Full Time;08/07/2014;July; 6 ; R ; 23.190 ;5;;;;;;
Copeland, Roger;Main;Major Mfg Projects;861-88-4260;(919) 663-2360;Full Time;11/03/1996;March; 25 ; DMR ; 89.140 ;1;;;;;;
Cortez, Jack;Main;Quality Control;876-08-2195;(252) 604-9607;Full Time;03/04/2004;April; 16 ; D ; 61.850 ;2;;;;;;
Cox, Stephanie;Main;Project & Contract Services;113-25-2240;(252) 671-2695;Full Time;26/10/2004;October; 16 ; DMR ; 62.400 ;4;;;;;;
Craig, Alan;North;Quality Control;483-48-3618;(252) 645-9263;Full Time;27/12/2000;December; 20 ; R ; 33.590 ;5;;;;;;
Crawford, Ronald;North;Manufacturing;356-24-2235;(252) 166-7727;Half-Time;02/01/2005;January; 16 ; R ; 46.710 ;3;;;;;;
Cross, Marc;North;Engineering/Maintenance;260-81-5239;(252) 304-0292;Hourly;01/11/1996;November; 24 ;; 14.568 ;3;;;;;;
Cruz, Janene;Main;Quality Assurance;668-70-8287;(919) 195-2821;Contract;27/10/2002;October; 18 ;; 86.100 ;4;;;;;;
Cummings, Jose;North;Project & Contract Services;933-88-3118;(252) 329-4956;Contract;05/09/1999;September; 21 ;; 85.980 ;2;;;;;;
Cunningham, Denise;West;Operations;499-12-4019;(919) 597-8858;Half-Time;07/09/2003;September; 17 ; R ; 28.880 ;3;;;;;;
Curry, Hunyen;Main;Operations;393-29-0045;(252) 526-8508;Half-Time;18/07/2006;July; 14 ; DM ; 47.295 ;4;;;;;;
Curtis, Patrick;West;Engineering/Maintenance;787-15-6286;(252) 458-8703;Full Time;03/02/1996;February; 25 ; D ; 49.810 ;2;;;;;;
Dalton, Carol;South;Peptide Chemistry;478-00-4556;(919) 389-1189;Full Time;06/10/2015;October; 5 ; D ; 62.180 ;2;;;;;;
Daniel, Robert;Taft;Project & Contract Services;343-18-5481;(919) 644-6519;Full Time;16/02/2003;February; 18 ; DM ; 73.740 ;4;;;;;;
Daniels, Janet;North;Process Development;881-24-2432;(919) 395-7018;Full Time;05/09/1997;September; 23 ; DM ; 68.010 ;1;;;;;;
Davenport, Troy;West;Engineering/Maintenance;415-22-8597;(919) 625-2690;Full Time;10/06/2002;June; 18 ; DMR ; 40.920 ;4;;;;;;
Davidson, Jaime;Watson;Operations;355-98-5853;(252) 547-8716;Full Time;01/03/2004;March; 17 ; DMR ; 46.030 ;2;;;;;;
Davis, Tonya;Taft;Project & Contract Services;698-47-2533;(919) 291-7217;Contract;12/07/2002;July; 18 ;; 36.230 ;2;;;;;;
Dawson, Jonathan;North;Manufacturing;428-02-4993;(919) 641-0575;Contract;04/04/1997;April; 23 ;; 32.190 ;3;;;;;;
Day, David;Taft;Manufacturing;696-43-5191;(252) 771-0498;Full Time;26/03/2002;March; 18 ; R ; 61.150 ;2;;;;;;
Dean, Gayla;Watson;Operations;466-40-0098;(252) 465-2136;Contract;09/01/1998;January; 23 ;; 29.000 ;5;;;;;;
Decker, Amy;West;Audit Services;278-43-1222;(919) 669-9611;Full Time;18/10/2005;October; 15 ; R ; 33.640 ;3;;;;;;
Deleon, Jaquelyn;North;Logistics;302-59-8687;(919) 539-4899;Full Time;10/02/1998;February; 23 ; DMR ; 31.840 ;1;;;;;;
Delgado, Dale;North;Engineering/Maintenance;411-05-8865;(252) 388-3919;Full Time;10/02/2006;February; 15 ; DMR ; 27.180 ;4;;;;;;
Dennis, Paul;Main;Quality Control;595-02-2550;(919) 562-1928;Full Time;04/10/1997;October; 23 ; DM ; 59.490 ;3;;;;;;
Diaz, David;Main;Quality Control;418-70-1946;(252) 414-1191;Half-Time;19/04/1998;April; 22 ; DMR ; 49.545 ;2;;;;;;
Dickerson, Lincoln;Watson;Quality Assurance;687-62-3890;(252) 244-7501;Hourly;15/09/2000;September; 20 ;; 23.692 ;4;;;;;;
Dixon, Richard;Main;Logistics;232-89-6341;(919) 728-8082;Contract;13/12/2014;December; 6 ;; 45.830 ;4;;;;;;
Dodson, David;Main;Logistics;113-69-9123;(252) 656-3683;Full Time;17/06/1995;June; 25 ; M ; 35.360 ;5;;;;;;
Dominguez, Duane;North;Project & Contract Services;828-39-5582;(919) 859-1986;Full Time;15/09/1996;September; 24 ; D ; 71.680 ;4;;;;;;
Dorsey, Matthew;Taft;Quality Control;759-47-1070;(252) 540-2828;Full Time;11/02/2006;February; 15 ; R ; 78.710 ;2;;;;;;
Douglas, Kenneth;Taft;Manufacturing;317-84-4971;(919) 355-7946;Contract;25/02/2003;February; 18 ;; 76.910 ;1;;;;;;
Doyle, Leslie;Main;Manufacturing;914-32-6052;(252) 424-9228;Full Time;25/10/2004;October; 16 ; DMR ; 76.192 ;4;;;;;;
Drake, Kyle;Main;Manufacturing;854-80-6695;(919) 267-2603;Full Time;10/02/1997;February; 24 ; R ; 26.190 ;5;;;;;;
Dudley, James;Watson;Engineering/Maintenance;964-24-3524;(252) 233-9143;Full Time;08/08/2000;August; 20 ; DMR ; 67.890 ;5;;;;;;
Duncan, George;North;Engineering/Maintenance;334-57-4480;(252) 516-5289;Full Time;26/09/2004;September; 16 ; R ; 32.100 ;1;;;;;;
Dunn, Matthew;North;Professional Training Group;852-43-0023;(919) 550-6190;Half-Time;12/06/1995;June; 25 ; M ; 24.815 ;1;;;;;;
Duran, Brian;Taft;Quality Control;900-16-0539;(252) 274-9909;Half-Time;08/05/2004;May; 16 ; M ; 19.825 ;2;;;;;;
Durham, Troy;West;Project & Contract Services;452-25-5054;(919) 611-4005;Contract;20/09/1996;September; 24 ;; 50.840 ;4;;;;;;
Dyer, Carrie;Main;Operations;597-64-1409;(919) 620-1509;Full Time;17/12/2002;December; 18 ; R ; 82.110 ;3;;;;;;
Eaton, Cris;Main;Process Development;150-13-2247;(919) 856-1612;Full Time;20/07/1997;July; 23 ; D ; 46.910 ;3;;;;;;
Edwards, Phillip;North;Peptide Chemistry;414-90-5182;(919) 382-0411;Full Time;11/12/2000;December; 20 ; R ; 22.860 ;5;;;;;;
Elliott, Anthony;North;Manufacturing;412-61-1335;(252) 599-8691;Contract;20/03/2010;March; 10 ;; 40.940 ;2;;;;;;
Holt, Robert;Watson;Admin Training;840-31-3216;(919) 844-9868;Full Time;03/10/2011;October; 9 ; M ; 37.670 ;3;;;;;;
Ellison, Melyssa;West;Manufacturing;159-11-7255;(919) 842-6889;Contract;02/11/2013;November; 7 ;; 78.520 ;4;;;;;;
English, David;Watson;Research Center;443-92-6890;(252) 441-1859;Full Time;18/12/2007;December; 13 ; R ; 42.800 ;5;;;;;;
Erickson, Ricky;North;Quality Assurance;744-83-0329;(919) 609-8293;Full Time;25/01/2000;January; 21 ; DM ; 82.700 ;3;;;;;;
Espinoza, Derrell;Main;Manufacturing;820-24-4290;(919) 494-4596;Contract;26/10/1997;October; 23 ;; 73.990 ;3;;;;;;
Estes, Mary;North;Professional Training Group;198-56-4686;(252) 335-5100;Full Time;24/10/1995;October; 25 ; DMR ; 71.730 ;1;;;;;;
Estrada, Joan;North;Manufacturing;722-63-0791;(252) 226-3363;Hourly;21/04/2003;April; 17 ;; 8.904 ;3;;;;;;
